#{"t_start": 1636194996.5971463, "env_id": "NavOmnibase-v1"}
r,l,t
-67.873093,1000,13.210604
-69.325592,1000,26.742071
-62.059164,1000,40.235492
-65.188368,1000,53.635279
-71.847769,1000,71.100409
-63.037506,1000,85.18156
-65.532816,1000,99.740794
-71.030354,1000,113.445925
6.958311,480,125.42483
-75.355471,1000,140.143874
-70.732441,1000,154.923881
-19.226255,1000,169.480838
-58.321824,1000,188.46379
-58.860504,1000,203.896719
-57.674619,1000,219.276464
-65.64642,1000,234.661572
-66.065231,1000,253.746266
-63.266078,1000,268.880662
-46.538244,1000,284.967863
-38.238901,1000,300.920892
-45.567813,1000,317.467368
-73.76406,1000,338.409373
-72.579104,1000,355.413933
-61.075874,1000,372.234207
-69.140235,1000,389.238089
-60.223279,1000,411.055137
-73.033541,1000,429.499481
-73.944576,1000,447.035385
-65.441833,1000,465.194816
-20.447421,1000,486.440644
-55.871552,1000,504.035939
-64.437734,1000,522.867738
-54.514182,1000,542.403894
-45.27715,1000,565.68757
-53.813031,1000,584.28177
-47.132608,1000,603.181397
-46.450492,1000,622.368715
-46.2812,1000,646.42286
-45.264751,1000,667.087369
-37.501247,1000,685.70276
-29.041781,1000,706.166688
-29.322892,1000,730.526628
-28.483484,1000,750.043506
-29.881763,1000,770.312141
-44.911407,1000,790.492445
-41.883888,1000,815.642425
-33.866521,1000,835.944816
-31.407875,1000,856.881728
-29.93319,1000,878.242953
-31.383084,1000,904.078618
-29.843567,1000,925.664286
-30.043255,1000,948.387503
-31.268026,1000,971.879804
-37.459834,1000,998.476332
-29.001768,1000,1022.337612
-68.503445,1000,1045.146135
-63.543816,1000,1068.876562
-21.043433,1000,1093.534206
-70.738317,1000,1116.073071
-29.322428,1000,1139.888524
-65.670159,1000,1165.962944
-25.959629,1000,1194.584988
-57.164167,1000,1219.385908
-38.58886,1000,1242.559565
-29.883179,1000,1267.212852
-39.085152,1000,1291.497501
-35.538408,1000,1322.956485
-29.512529,1000,1346.323724
-30.003009,1000,1373.665656
-65.667072,1000,1400.333709
-29.544274,1000,1429.168271
-32.985167,1000,1454.675406
-68.67166,1000,1481.540956
-26.776477,1000,1506.569614
-36.536282,1000,1533.775334
-70.988867,1000,1554.035732
-21.766769,1000,1572.347242
-64.257858,1000,1592.254216
-31.455933,1000,1616.56717
-73.5746,1000,1637.174507
-28.443078,1000,1656.090481
-27.953332,1000,1678.534209
-22.892708,1000,1704.669235
-67.622249,1000,1724.507506
-22.987071,1000,1749.158691
-64.134706,1000,1771.704313
-19.393369,1000,1800.433994
-67.589112,1000,1824.039509
-54.211841,1000,1849.866505
-46.60383,1000,1874.693597
-23.63376,1000,1904.364369
-35.265078,1000,1928.99339
-74.079219,1000,1956.007222
-38.510322,1000,1983.264858
-69.407381,1000,2014.974402
-20.90145,1000,2039.817138
-69.988935,1000,2065.917803
-29.769229,1000,2094.207745
-72.11486,1000,2124.293546
-67.366715,1000,2151.542315
-58.758949,1000,2177.488902
-27.723791,1000,2202.915787
-33.995514,1000,2234.757941
-24.974968,1000,2264.602346
-47.474695,1000,2294.05816
-30.225008,1000,2315.224467
-30.287183,1000,2344.672569
-33.172616,1000,2378.55128
-42.503459,1000,2407.780384
-66.879573,1000,2435.884161
-68.190155,1000,2465.075073
-65.315709,1000,2500.351385
-50.561203,1000,2528.937706
-15.685197,1000,2561.160924
-70.050984,1000,2589.51327
-29.536576,1000,2622.925876
-71.187387,1000,2649.979677
-62.955569,1000,2680.709705
-38.641183,1000,2712.907361
-40.367841,1000,2746.3671
-28.275468,1000,2776.540683
-69.296272,1000,2809.753995
-64.199652,1000,2841.197129
-34.252697,1000,2879.06355
-68.980627,1000,2912.654208
-59.232811,1000,2944.822057
-60.70884,1000,2976.37767
-63.518034,1000,3010.879927
-65.42322,1000,3047.111679
-67.791964,1000,3083.540787
-31.128864,1000,3118.6193
-31.030804,1000,3159.879449
-28.70735,1000,3193.305425
-27.849665,1000,3230.992517
-24.572037,1000,3268.782034
-40.734512,1000,3312.824757
-34.523054,1000,3346.021932
-30.307865,1000,3378.806419
-32.425017,1000,3411.841633
-30.452992,1000,3450.269308
-61.501219,1000,3485.369627
-31.615759,1000,3523.934357
-25.699061,1000,3563.431557
-33.858225,1000,3603.590606
-30.34605,1000,3637.989522
-30.958393,1000,3677.784859
-24.535274,1000,3714.654644
-30.451462,1000,3763.096154
-23.89754,1000,3801.815924
-27.085349,1000,3850.38091
-41.35648,1000,3892.435938
-19.942702,1000,3932.814617
-40.982492,1000,3971.273516
-21.554507,1000,4011.643103
-33.191417,1000,4055.02969
-30.732792,1000,4097.352054
-70.506561,1000,4136.321746
-61.186206,1000,4174.841579
-137.376113,1000,4213.721388
-63.94623,1000,4253.280779
-58.111948,1000,4290.859304
-60.98745,1000,4331.569764
-58.123647,1000,4374.064561
-42.60414,1000,4410.398166
-95.406135,1000,4452.453829
-34.036191,1000,4494.024129
-24.270595,1000,4535.518569
-78.42551,1000,4576.600914
-44.031609,1000,4617.486867
-20.077569,1000,4657.916625
-27.826712,1000,4697.773786
-21.867655,1000,4741.944296
-24.436752,1000,4786.470602
-16.425503,1000,4834.394689
-22.239393,1000,4871.335279
-26.041562,1000,4911.290851
-12.703111,1000,4961.180836
-28.086865,1000,5006.23754
-42.363006,1000,5048.564683
-26.204843,1000,5092.217704
-20.125256,1000,5134.088189
-45.036244,1000,5177.394738
-31.275835,1000,5214.745042
-19.153258,1000,5257.76462
-18.637133,1000,5307.47452
-35.033934,1000,5346.812875
-35.644087,1000,5388.38282
-27.195493,1000,5434.922376
-16.754907,1000,5488.52512
-28.060216,1000,5535.276503
-30.258081,1000,5577.76931
-28.596051,1000,5622.492393
-21.727491,1000,5666.205863
-30.86964,1000,5715.257137
-31.032689,1000,5754.855724
-29.871908,1000,5804.293813
-37.601266,1000,5853.591072
-42.254638,1000,5906.661825
-25.197143,1000,5950.040427
-18.459972,1000,5991.966323
-35.088265,1000,6034.543098
-17.100559,1000,6089.390837
-44.858894,1000,6135.18587
-36.655646,1000,6181.688877
-30.018956,1000,6224.482042
-44.887557,1000,6274.641969
-58.971802,1000,6333.212968
-61.221192,1000,6389.422403
-46.827158,1000,6436.240236
-76.898745,1000,6490.940984
-57.248302,1000,6535.634743
-128.105768,1000,6581.725624
9.810718,161,6619.961967
-149.13846,1000,6661.977515
-100.720613,1000,6709.046217
-92.158278,1000,6757.595676
-58.59211,1000,6811.491902
-62.56081,1000,6866.173176
-56.002473,1000,6920.925363
-41.231283,1000,6965.981682
-59.369917,1000,7012.379533
-63.298765,1000,7055.904136
-64.440551,1000,7106.108593
-42.320689,1000,7161.933829
-39.476507,1000,7208.981013
-27.144313,1000,7259.49
-6.651111,629,7305.825384
-42.562192,1000,7364.719376
-18.675656,1000,7412.74409
-6.012515,1000,7461.144355
-81.460299,1000,7509.919637
-80.953548,1000,7564.250931
-24.98513,909,7615.477396
-60.703281,1000,7664.273977
-60.342248,1000,7727.287502
-60.137354,1000,7780.279061
-71.375993,1000,7825.937854
-42.387164,1000,7883.807209
-39.488031,1000,7933.663488
-25.095122,1000,7986.668714
-24.34958,1000,8042.329326
-27.7887,1000,8098.207885
-25.901984,1000,8151.489748
-42.506327,1000,8205.396586
-16.009726,1000,8264.219585
-25.431378,1000,8316.443841
-23.76783,1000,8371.989041
-60.526995,1000,8430.865427
-33.123345,1000,8491.537026
-26.975114,1000,8545.128109
-24.58792,1000,8598.160921
-23.531699,1000,8655.305885
-73.277364,1000,8702.670834
-18.275452,1000,8764.018922
-30.35903,1000,8811.584778
-12.525805,1000,8865.462683
-27.068263,1000,8918.093783
-39.347431,1000,8969.783921
-25.699166,1000,9030.231551
-26.558442,1000,9094.503838
-17.725094,1000,9144.275342
-2.214691,832,9196.89019
-36.309943,1000,9246.857776
-22.096999,1000,9302.518197
-69.724778,1000,9362.293447
-79.013615,1000,9422.059691
-67.357873,1000,9478.950842
-17.668782,1000,9528.484643
-47.595856,1000,9587.728206
-43.614376,1000,9641.786698
-14.737986,1000,9700.669729
-30.666756,1000,9756.210036
-34.778649,1000,9814.746122
-25.092252,1000,9874.533773
-21.525701,1000,9931.930524
-27.933997,1000,9986.285731
-32.497433,1000,10050.731954
-19.660924,1000,10104.611639
-47.960021,1000,10158.869734
-69.932397,1000,10219.685676
-69.092902,1000,10288.875782
-60.710511,1000,10338.169921
-36.224921,1000,10391.518364
-61.882108,1000,10449.985533
-44.319499,1000,10511.828464
-58.082245,1000,10569.956423
-67.29727,1000,10625.03628
-65.206435,1000,10684.356324
-95.012373,1000,10753.330155
-79.581958,1000,10805.854956
-90.97548,1000,10852.823785
-48.925032,1000,10919.906298
9.832869,184,10958.635105
-139.255668,1000,11010.855749
-129.576333,1000,11066.419615
-13.956895,1000,11126.87723
-56.048419,1000,11183.767872
-46.348469,1000,11246.813368
-95.976692,1000,11306.957756
-51.827184,1000,11363.662559
-25.086439,1000,11420.061696
-30.290245,1000,11490.522602
-61.513353,1000,11551.041793
-40.508802,1000,11607.075153
-8.87253,1000,11672.864797
5.659175,477,11733.689789
-56.638333,1000,11805.8584
-59.906874,1000,11860.091217
-24.056978,1000,11914.818322
-68.255369,1000,11977.040096
-30.680529,1000,12041.182325
-28.872849,1000,12100.462601
-33.489929,1000,12166.576407
-59.996742,1000,12228.216509
-52.241102,1000,12295.340622
-95.754795,1000,12355.79354
-57.247426,1000,12421.450685
-72.800735,1000,12480.435426
-33.300174,1000,12546.185032
-75.74881,1000,12601.688557
-76.56876,1000,12661.212871
-42.47674,1000,12725.641391
-32.476893,1000,12800.968776
-63.66496,1000,12864.336439
-43.206291,1000,12929.23045
-51.675533,1000,13000.490244
-30.841573,1000,13078.731085
-28.094739,1000,13146.782045
-56.288604,1000,13220.338052
-56.49289,1000,13284.509101
-41.972866,1000,13348.886499
-47.490494,1000,13417.068613
-54.056259,1000,13478.733647
-33.535821,1000,13543.609549
-36.575395,1000,13617.361608
-34.781136,1000,13688.061074
-65.434576,1000,13746.522959
-63.594393,1000,13802.664329
-62.045123,1000,13865.569917
-47.970352,1000,13931.498267
-63.507806,1000,14002.246685
6.888604,259,14049.707769
-56.93724,1000,14103.706264
-124.76495,1000,14174.936129
-25.909349,1000,14240.161134
-54.335169,1000,14296.63408
-72.874522,1000,14361.410454
-62.262425,1000,14423.783909
-68.400663,1000,14503.636384
-48.736778,1000,14572.292638
-55.51268,1000,14630.695892
-25.402446,1000,14690.683367
-48.296143,1000,14766.35556
-42.830076,1000,14826.949294
-37.613176,1000,14897.038234
-42.794224,1000,15103.41878
-56.863635,1000,15167.873583
-28.827562,1000,15228.322723
-33.490335,1000,15287.218948
-57.603083,1000,15464.149629
-11.534871,1000,15533.649734
-20.219529,1000,15599.582683
-13.530297,1000,15668.359857
-33.665553,1000,15727.519084
-52.963762,1000,16451.643509
-62.111237,1000,16524.250512
-22.366577,1000,16714.836669
-49.231757,1000,16778.793245
-40.245391,1000,16848.218502
-20.257153,1000,16920.023811
-27.177789,1000,16979.630885
-18.887796,1000,17043.126393
-14.046809,1000,17112.751483
-47.424085,1000,17311.960035
-53.345454,1000,17383.638771
-34.869654,1000,17583.103619
-17.284006,1000,17651.087218
-17.334465,1000,17715.879158
-44.978451,1000,17777.455864
-60.18865,1000,17840.169831
-16.283382,1000,17895.938299
-45.281608,1000,17962.654747
-35.379221,1000,18029.649388
-14.893001,1000,18100.309258
-49.631957,1000,18163.090329
-45.489978,1000,18225.150747
-27.702974,1000,18280.844567
-18.008893,1000,18488.616858
-69.427665,1000,18551.526878
-28.416134,1000,18609.259069
-32.106982,1000,18671.062049
-32.484522,1000,18729.831836
-37.955611,1000,18787.461031
-48.148109,1000,18851.199947
-38.803694,1000,19049.161328
-53.513921,1000,19115.29487
-48.228599,994,19169.528588
-60.891832,1000,19248.616939
-65.13581,1000,19306.065354
-72.914317,1000,19377.659309
-21.885703,1000,19441.566109
-59.860384,1000,19519.426058
2.781803,690,19573.816561
-56.887084,1000,19774.125809
-67.121415,1000,19832.222954
-15.833724,1000,19901.936778
-23.683148,1000,19961.519404
-13.661672,1000,20020.161023
-60.123287,1000,20219.939448
-57.518759,1000,20284.792135
-54.159007,1000,20352.091243
-20.424558,1000,20552.359868
-81.540849,1000,20619.125701
-33.843985,1000,20683.664023
-51.734508,1000,20881.640848
-60.462322,1000,20949.567672
-50.771611,1000,21032.719974
-11.806824,1000,21098.910348
-17.598948,1000,21173.560612
-11.333113,1000,21248.876065
-39.831472,1000,21316.469573
-56.890566,1000,21392.337932
-38.33988,1000,21460.417545
-27.195794,1000,21535.186586
-25.634157,1000,21723.501749
-47.087547,1000,21792.724305
-16.293672,1000,22546.324694
-8.743642,1000,22623.163084
-16.157239,1000,22684.466984
-37.802813,1000,22738.020523
-45.10071,1000,22816.716747
-41.60179,1000,22889.509741
-73.249363,1000,22949.357321
-36.937963,1000,23019.778244
-8.075112,1000,23081.182384
-54.717695,1000,23140.992817
-42.874434,1000,23204.330844
-17.435054,1000,23414.33266
-70.536733,1000,23498.201209
-13.720009,1000,23566.966612
-19.511464,1000,23629.455913
-12.493976,1000,23695.774613
-15.359042,1000,23772.562524
-57.981892,1000,23844.914118
-34.615546,1000,23916.533238
-56.441083,1000,24118.950879
-15.039281,1000,24196.87315
-11.487375,1000,24269.001374
-69.790834,1000,24338.143376
-33.422327,1000,24413.345419
-39.916718,1000,24491.984377
-13.519218,1000,24561.025568
-18.382474,1000,24636.735315
-52.064389,1000,24715.161637
-74.003495,1000,25516.09782
-91.22255,1000,25596.470519
-36.429756,1000,25658.419958
8.034245,309,25708.94931
-24.954152,1000,25773.998951
-48.951407,1000,26516.96194
-15.59307,1000,26593.268281
-74.230848,1000,26667.813067
-16.4002,1000,26738.540283
-59.332416,1000,27540.915341
-76.536033,1000,27621.824905
-2.918499,304,27672.611567
-66.304219,1000,27733.303047
-23.830559,1000,27937.880038
-51.400718,1000,28016.521349
-34.929759,1000,28092.346787
-19.587899,1000,28221.803011
-59.675641,1000,28294.604396
-49.024056,1000,28353.198516
-55.826013,1000,28552.073226
-30.259862,1000,28622.559616
-46.887509,1000,28814.813508
-28.954479,1000,28885.669484
-63.03629,1000,28954.242825
-84.46062,1000,29015.946624
-67.457089,1000,29079.294139
-65.557295,1000,29144.808906
-66.319882,1000,29214.205742
-49.516823,1000,29274.076055
-25.224094,1000,29326.553953
-30.837407,1000,29384.054984
-31.350357,1000,30141.201983
-51.08727,1000,30199.24376
-48.797096,1000,30264.956354
-59.886149,1000,30333.70629
-50.351919,1000,30459.392409
-61.305469,1000,30518.61517
4.80298,493,30573.584738
-66.788309,1000,30635.230362
3.589112,524,30693.479228
-47.300889,1000,30750.397505
3.106545,494,30819.238518
-1.979034,840,30875.564599
-15.662678,1000,30961.843579
2.879308,705,31016.239429
-46.581076,1000,31077.493825
-19.151433,1000,31285.715565
-45.012925,1000,31341.785685
-18.643261,1000,31537.4903
-54.812265,1000,31603.466563
-15.421025,1000,31776.656921
-25.816243,1000,31836.5922
-46.506474,1000,31901.095407
-14.329325,1000,31948.188855
-10.622715,1000,32002.233187
