#{"t_start": 1649675949.0292547, "env_id": "NavOmnibase-v1"}
r,l,t
-241.367303,1000,14.040392
-2.888589,1000,29.40714
-4.83182,1000,43.551326
-5.704062,1000,58.493402
1.86905,776,70.465058
-4.613636,1000,85.461241
-49.664582,1000,103.021362
-47.453511,1000,118.19111
-106.197286,1000,133.539093
-3.9954,1000,149.382607
3.651233,676,161.377998
-199.234733,1000,180.352286
-157.791833,1000,201.105766
-170.60876,1000,217.479421
-150.949504,1000,234.847856
-69.116726,1000,251.179346
-23.534028,1000,267.932702
-96.307361,1000,289.420105
-89.476999,1000,307.585281
-322.380646,1000,325.948524
-187.247497,1000,345.534548
-384.710452,1000,365.103311
-73.400539,1000,387.880083
-108.985027,1000,457.68491
-159.092349,1000,477.388501
-215.829536,1000,496.767098
-489.079191,1000,513.686028
-236.99994,1000,537.684272
-98.233276,1000,564.592605
-459.032653,1000,582.942508
-493.950425,1000,601.785863
-74.47005,1000,621.383931
-229.772773,1000,639.960059
-47.471972,1000,812.324328
-431.42379,1000,830.569216
-324.009373,1000,849.851917
-123.365641,1000,868.810146
-202.541501,1000,888.654103
-470.111419,1000,913.707838
-334.67485,1000,933.845457
-485.739266,1000,1009.058565
-259.493221,1000,1029.773348
-550.156189,1000,1047.458464
-161.29296,1000,1075.717425
-316.121883,1000,1093.803526
-289.088442,1000,1114.085874
-245.56772,1000,1134.36081
-269.235877,1000,1153.498894
-252.359443,1000,1180.334496
-108.622693,1000,1212.99378
-186.932295,1000,1234.632117
-586.563038,1000,1253.784218
-595.920256,1000,1274.260504
-611.471381,1000,1294.579684
-429.025143,1000,1608.595686
-582.877989,1000,1631.140108
-63.495441,1000,1659.620605
-417.017032,1000,1682.67678
-496.534443,1000,1703.225918
-162.10426,1000,1874.422161
-464.429991,1000,1895.318959
-581.603203,1000,1917.110372
-47.310523,1000,1940.519702
-353.463955,1000,2067.898753
-20.56883,1000,2102.765845
-168.270606,1000,2129.904939
-417.267593,1000,2249.056674
-494.147033,1000,2272.303446
-508.145381,1000,2298.12634
-4.738521,1000,2572.163278
-308.665368,1000,2596.764277
-316.312208,1000,2621.350045
-508.509761,1000,2741.719267
-59.23152,1000,2766.337248
-131.363349,1000,2928.094303
-135.505518,1000,2962.749599
-518.154343,1000,2987.931962
-515.666698,1000,3011.49448
-127.407144,1000,3133.157776
-366.606343,1000,3158.220291
-516.900729,1000,3193.190891
-589.126136,1000,3308.054392
-513.153894,1000,3332.997193
-587.536436,1000,3354.645845
-31.648543,1000,3381.094185
-393.270794,1000,3553.035736
-255.576734,1000,3667.977025
-515.86103,1000,3694.896284
-533.740051,1000,3716.83023
-480.71469,1000,3743.724568
-225.970985,1000,3780.988267
-308.148523,1000,3805.218746
-399.908248,1000,3832.436987
-519.204232,1000,3857.520865
-401.626629,1000,3883.517835
-144.54619,1000,4186.208082
-590.086543,1000,4213.065204
-254.681099,1000,4335.614882
-265.435248,1000,4363.773904
-596.386625,1000,4482.939061
-70.85523,1000,4523.691712
-44.439324,1000,4550.695182
-405.612705,1000,4668.605723
-600.25069,1000,4694.337017
-392.971716,1000,4721.557892
-323.956009,1000,5019.249846
-498.82222,1000,5044.266197
-257.269428,1000,5072.314553
-596.400526,1000,5098.308985
-568.215035,1000,5123.951832
-219.577144,1000,5187.985074
-12.676229,1000,5244.465265
-312.870639,1000,5275.546852
-459.066083,1000,5304.026515
-494.738347,1000,5334.355144
-410.294031,1000,5369.727796
-264.552058,1000,5412.101086
-438.028857,1000,5442.362336
-193.886693,1000,5468.919086
-575.014866,1000,5496.172061
-89.697521,1000,5524.803097
-38.257796,1000,5576.41828
-347.00713,1000,5608.425845
-508.846384,1000,5743.51094
-561.54161,1000,5774.182828
-508.095335,1000,5910.73427
-462.635714,1000,5957.658361
-220.928288,1000,5988.936163
-505.747866,1000,6020.281088
-59.298523,1000,6155.914068
-326.035185,1000,6190.155587
-321.018486,1000,6234.090193
-400.270684,1000,6363.830906
-6.376018,1000,6394.390562
-365.239635,1000,6428.172875
-453.507188,1000,6456.466403
-415.813666,1000,6807.192158
-278.751483,1000,6839.134429
-602.998624,1000,6979.852144
-607.86608,1000,7010.649766
-13.045514,691,7037.582658
-570.563802,1000,7086.891334
-483.975343,1000,7116.040435
-615.050024,1000,7143.239191
-598.992821,1000,7171.942535
-576.51973,1000,7206.69301
-496.836845,1000,7255.783115
-494.612335,1000,7294.823461
-234.661632,1000,7326.542827
-488.730133,1000,7356.598764
-449.53184,1000,7389.110236
-138.356979,1000,7441.612823
-286.87395,1000,7515.290609
-342.025226,1000,7548.618729
-438.436486,1000,7578.879702
-361.054072,1000,7732.504135
-216.488459,1000,7764.539832
-431.319275,1000,7814.714814
-508.628388,1000,7848.35059
-251.663292,1000,7887.702297
-474.303855,1000,7916.919861
-507.335609,1000,7951.068098
-291.527068,1000,8007.13339
-496.176981,1000,8038.327255
-296.482668,1000,8073.136356
-566.142309,1000,8227.45101
-509.465632,1000,8261.048466
-208.351645,1000,8317.266469
-456.252503,1000,8353.823517
-59.995957,1000,8507.826099
-530.027877,1000,8543.359613
-498.266285,1000,8577.459952
-345.065583,1000,8992.492232
-354.007851,1000,9140.035058
-461.727287,1000,9176.987927
-34.545974,1000,9211.943485
-3.185511,1000,9244.453973
-231.913308,1000,9427.219484
-563.905791,1000,9465.216972
-510.184839,1000,9495.689529
-612.001489,1000,9536.901813
-466.011627,1000,9573.262328
-578.618244,1000,9986.655505
-540.998541,1000,10030.348174
-555.266591,1000,10066.136309
-510.333959,1000,10099.772366
-260.804414,1000,10267.910702
-298.998233,1000,10329.876106
-541.806801,1000,10364.25533
-332.639666,1000,10523.302226
-486.813121,1000,10560.06498
-470.967602,1000,10595.133349
-319.508231,1000,10655.332341
-331.023032,1000,10691.708687
-148.530151,1000,10725.012844
-489.037956,1000,10753.615986
-523.728101,1000,10789.835448
-326.319544,1000,10850.105775
-361.543852,1000,10936.539228
-446.422083,1000,10969.924554
-489.504129,1000,11005.441144
-490.988003,1000,11039.442583
-331.051825,1000,11076.641214
-317.587235,1000,11449.783427
-493.255302,1000,11489.671587
-252.983922,1000,11524.60506
-508.428852,1000,11563.653421
-293.350991,1000,11728.691294
-490.483191,1000,11916.172574
-472.011365,1000,11953.324466
-237.148023,1000,11988.101519
-483.009711,1000,12025.448356
-414.34461,1000,12064.608177
-319.370424,1000,12358.09755
-517.611392,1000,12394.737451
-574.365708,1000,12432.784059
-238.068576,1000,12474.240188
-150.105318,1000,12646.351228
-368.108125,1000,12712.369584
-569.377864,1000,12747.253443
-542.52183,1000,12784.421157
-500.541451,1000,12827.784225
-486.198147,1000,12998.716398
-500.920836,1000,13067.35034
-443.76113,1000,13106.334265
-319.284948,1000,13145.835153
-403.514118,1000,13187.307904
-331.947281,1000,13236.52485
-276.577298,1000,13295.257697
-372.971499,1000,13459.068427
-501.307384,1000,13498.1857
-3.192428,1000,13533.391722
-25.62252,1000,13574.14681
-275.849706,1000,13959.771955
-348.360488,1000,14136.298711
-504.614009,1000,14173.870454
-21.167531,1000,14215.151665
0.0,1000,14256.859906
-281.649138,1000,14321.218194
-504.454288,1000,14363.957516
-535.89502,1000,14402.044365
-576.005621,1000,14437.153481
-347.445276,1000,14613.299071
-371.227783,1000,14683.406015
-7.480781,1000,14722.296514
-0.025975,1000,14762.446903
0.0,1000,14800.729728
-33.749352,1000,14837.917939
-308.332914,1000,15104.726557
-509.502257,1000,15183.252502
-171.280614,1000,15219.445727
-584.342285,1000,15253.652683
-513.240855,1000,15291.856833
-565.158007,1000,15330.21595
-360.498004,1000,15733.014065
-508.566519,1000,15771.602445
-400.013281,1000,15823.602623
-341.477372,1000,15862.755381
-438.207957,1000,15902.277836
-332.44619,1000,15972.543124
-409.518137,1000,16007.89924
-7.5016,1000,16051.496281
-0.026205,1000,16093.070196
-19.120797,1000,16130.836782
-520.894987,1000,16587.934073
-406.996478,1000,16622.759143
-269.166766,1000,16661.128573
-490.839693,1000,16704.666831
-370.284066,1000,16753.669693
-450.994608,1000,17172.811285
-453.954942,1000,17209.449522
-294.443344,1000,17251.792027
-471.789969,1000,17418.73195
-505.312113,1000,17461.345828
-381.594879,1000,17854.170176
-582.745098,1000,17895.164183
-578.980855,1000,17941.594317
-612.151333,1000,17983.293504
-462.45575,1000,18028.331022
-568.704962,1000,18432.194293
-514.26337,1000,18473.925327
-236.718425,1000,18515.63051
-487.561152,1000,18553.695609
-140.278968,1000,18719.971161
-308.766839,1000,18901.242097
-347.477138,1000,18944.247615
-445.863542,1000,18984.696915
-300.436455,1000,19024.112925
-491.289292,1000,19064.805896
-422.375354,1000,19479.103347
-401.898438,1000,19517.748825
-601.738722,1000,19557.491185
-459.051283,1000,19599.285722
-485.827829,1000,19647.72401
-404.658602,1000,19813.750373
-573.072789,1000,19855.760461
-49.549193,1000,19894.971148
-35.988411,1000,19932.348459
-70.432566,1000,20102.748797
-477.690166,1000,20301.504397
-187.031829,1000,20342.482768
-373.492151,1000,20378.865378
-425.320446,1000,20416.086185
-596.991216,1000,20453.173902
-449.112621,1000,20877.401492
-326.047958,1000,20924.424937
-571.798235,1000,20959.136481
-0.034097,1000,21121.458494
0.0,1000,21153.959481
-371.390217,1000,21213.175712
-260.765846,1000,21277.921467
-361.037649,1000,21434.464355
-541.820354,1000,21473.416454
-480.267426,1000,21510.990483
-63.46284,1000,21549.10013
-325.071308,1000,21917.318527
-291.936453,1000,21960.424233
-488.749085,1000,22112.168351
-503.803514,1000,22150.256499
-177.609674,1000,22314.164243
-299.500741,1000,22379.03222
-486.747269,1000,22416.312702
-404.344664,1000,22460.139921
-8.031127,1000,22496.14222
-387.824508,1000,22535.672045
-369.071461,1000,22599.390905
-579.805645,1000,22643.952708
-583.019942,1000,22813.828112
-260.046869,1000,22856.356942
-428.962605,1000,22896.266872
-356.547113,1000,23267.082055
-562.544055,1000,23304.561824
-485.790058,1000,23340.605374
-450.381384,1000,23378.891351
-354.940835,1000,23417.380941
-526.779378,1000,23772.273539
-357.000731,1000,23813.354128
-8.244952,1000,23846.125134
-226.424946,1000,23888.986397
-508.033523,1000,23929.072713
-262.938237,1000,23990.258084
-317.956644,1000,24140.618234
-593.608379,1000,24179.309036
-252.513919,1000,24219.831282
-457.397293,1000,24260.153377
-545.787188,1000,24319.461442
-581.317857,1000,24476.356561
-567.087439,1000,24523.777267
-363.986095,1000,24564.391677
-585.439448,1000,24602.117307
-521.818567,1000,24663.82091
-597.17193,1000,24701.324384
-599.787832,1000,24742.603655
-564.400595,1000,24893.423722
-588.033731,1000,24933.227378
-309.300278,1000,24991.295093
-460.123892,1000,25031.952618
-426.797231,1000,25200.996724
-389.975881,1000,25232.223683
-285.945266,1000,25267.547543
-498.984686,1000,25638.822117
-299.54975,1000,25681.410577
-469.829311,1000,25717.113544
-251.826747,1000,25749.654176
-552.80191,1000,25785.149791
-527.327127,1000,26190.448758
-100.977814,1000,26224.702123
-507.40436,1000,26376.447613
-243.662953,1000,26414.335996
-462.875392,1000,26449.679044
-303.01969,1000,26789.684563
-492.288442,1000,26832.554686
-462.353585,1000,26869.528636
-497.386286,1000,26900.661066
-455.838316,1000,26932.414188
